file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,46,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,52
style.css,47,css,e9473300,ishita-takkar,2025-04-10,17:25:44,-07:00,2025-04-10T17:25:44-07:00,0,0
style.css,48,css,e9473300,ishita-takkar,2025-04-10,17:25:44,-07:00,2025-04-10T17:25:44-07:00,0,0
style.css,49,css,ce999ae9,ishita-takkar,2025-04-18,16:39:46,-07:00,2025-04-18T16:39:46-07:00,0,14
style.css,50,css,ce999ae9,ishita-takkar,2025-04-18,16:39:46,-07:00,2025-04-18T16:39:46-07:00,0,46
style.css,51,css,e9473300,ishita-takkar,2025-04-10,17:25:44,-07:00,2025-04-10T17:25:44-07:00,0,21
style.css,52,css,e9473300,ishita-takkar,2025-04-10,17:25:44,-07:00,2025-04-10T17:25:44-07:00,0,17
style.css,53,css,e9473300,ishita-takkar,2025-04-10,17:25:44,-07:00,2025-04-10T17:25:44-07:00,0,0
style.css,54,css,c0d0736c,ishita-takkar,2025-04-10,17:37:17,-07:00,2025-04-10T17:37:17-07:00,0,0
style.css,55,css,c0d0736c,ishita-takkar,2025-04-10,17:37:17,-07:00,2025-04-10T17:37:17-07:00,0,12
style.css,56,css,c0d0736c,ishita-takkar,2025-04-10,17:37:17,-07:00,2025-04-10T17:37:17-07:00,0,46
style.css,57,css,5c4849bc,ishita-takkar,2025-04-18,16:23:19,-07:00,2025-04-18T16:23:19-07:00,0,70
style.css,58,css,c0d0736c,ishita-takkar,2025-04-10,17:37:17,-07:00,2025-04-10T17:37:17-07:00,0,15
style.css,59,css,c0d0736c,ishita-takkar,2025-04-10,17:37:17,-07:00,2025-04-10T17:37:17-07:00,0,0
style.css,60,css,e9559500,ishita-takkar,2025-04-10,23:59:26,-07:00,2025-04-10T23:59:26-07:00,0,0
style.css,61,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,5
style.css,62,css,e68d27af,ishita-takkar,2025-04-11,11:59:06,-07:00,2025-04-11T11:59:06-07:00,0,13
style.css,63,css,e68d27af,ishita-takkar,2025-04-11,11:59:06,-07:00,2025-04-11T11:59:06-07:00,0,31
style.css,64,css,e68d27af,ishita-takkar,2025-04-11,11:59:06,-07:00,2025-04-11T11:59:06-07:00,0,8
style.css,65,css,e68d27af,ishita-takkar,2025-04-11,11:59:06,-07:00,2025-04-11T11:59:06-07:00,0,16
style.css,66,css,e68d27af,ishita-takkar,2025-04-11,11:59:06,-07:00,2025-04-11T11:59:06-07:00,0,17
style.css,67,css,e68d27af,ishita-takkar,2025-04-11,11:59:06,-07:00,2025-04-11T11:59:06-07:00,0,0
style.css,68,css,e68d27af,ishita-takkar,2025-04-11,11:59:06,-07:00,2025-04-11T11:59:06-07:00,0,0
style.css,69,css,e9559500,ishita-takkar,2025-04-10,23:59:26,-07:00,2025-04-10T23:59:26-07:00,0,6
style.css,70,css,61f5ea4f,ishita-takkar,2025-04-11,01:33:35,-07:00,2025-04-11T01:33:35-07:00,0,13
style.css,71,css,61f5ea4f,ishita-takkar,2025-04-11,01:33:35,-07:00,2025-04-11T01:33:35-07:00,0,30
style.css,72,css,61f5ea4f,ishita-takkar,2025-04-11,01:33:35,-07:00,2025-04-11T01:33:35-07:00,0,19
style.css,73,css,e9559500,ishita-takkar,2025-04-10,23:59:26,-07:00,2025-04-10T23:59:26-07:00,0,0
style.css,74,css,e9559500,ishita-takkar,2025-04-10,23:59:26,-07:00,2025-04-10T23:59:26-07:00,0,0
style.css,75,css,f7846ba6,ishita-takkar,2025-04-18,17:06:10,-07:00,2025-04-18T17:06:10-07:00,0,5
style.css,76,css,f7846ba6,ishita-takkar,2025-04-18,17:06:10,-07:00,2025-04-18T17:06:10-07:00,0,8
style.css,77,css,f7846ba6,ishita-takkar,2025-04-18,17:06:10,-07:00,2025-04-18T17:06:10-07:00,0,6
style.css,78,css,f7846ba6,ishita-takkar,2025-04-18,17:06:10,-07:00,2025-04-18T17:06:10-07:00,0,7
style.css,79,css,f7846ba6,ishita-takkar,2025-04-18,17:06:10,-07:00,2025-04-18T17:06:10-07:00,0,13
style.css,80,css,f7846ba6,ishita-takkar,2025-04-18,17:06:10,-07:00,2025-04-18T17:06:10-07:00,0,0
style.css,81,css,f7846ba6,ishita-takkar,2025-04-18,17:06:10,-07:00,2025-04-18T17:06:10-07:00,0,0
style.css,82,css,e9559500,ishita-takkar,2025-04-10,23:59:26,-07:00,2025-04-10T23:59:26-07:00,0,5
style.css,83,css,61f5ea4f,ishita-takkar,2025-04-11,01:33:35,-07:00,2025-04-11T01:33:35-07:00,0,9
style.css,84,css,61f5ea4f,ishita-takkar,2025-04-11,01:33:35,-07:00,2025-04-11T01:33:35-07:00,0,14
style.css,85,css,e9559500,ishita-takkar,2025-04-10,23:59:26,-07:00,2025-04-10T23:59:26-07:00,0,11
style.css,86,css,e9559500,ishita-takkar,2025-04-10,23:59:26,-07:00,2025-04-10T23:59:26-07:00,0,22
style.css,87,css,e9559500,ishita-takkar,2025-04-10,23:59:26,-07:00,2025-04-10T23:59:26-07:00,0,14
style.css,88,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,35
style.css,89,css,14b6034a,ishita-takkar,2025-04-11,13:15:14,-07:00,2025-04-11T13:15:14-07:00,0,18
style.css,90,css,61f5ea4f,ishita-takkar,2025-04-11,01:33:35,-07:00,2025-04-11T01:33:35-07:00,0,0
style.css,91,css,61f5ea4f,ishita-takkar,2025-04-11,01:33:35,-07:00,2025-04-11T01:33:35-07:00,0,0
style.css,92,css,61f5ea4f,ishita-takkar,2025-04-11,01:33:35,-07:00,2025-04-11T01:33:35-07:00,0,7
style.css,93,css,61f5ea4f,ishita-takkar,2025-04-11,01:33:35,-07:00,2025-04-11T01:33:35-07:00,0,19
style.css,94,css,61f5ea4f,ishita-takkar,2025-04-11,01:33:35,-07:00,2025-04-11T01:33:35-07:00,0,18
